NodeID,X,Y
2770,556188.130499999970198,4407275.351940000429749
2832,552523.214784999960102,4406140.940929999575019
2833,553350.387522000004537,4406291.335939999669790
2834,554114.895555000053719,4406391.598980000242591
2836,554767.696834999951534,4407051.340929999947548
2837,555579.587652000016533,4406680.038920000195503
2838,556247.619140999973752,4406762.710920000448823
2903,555169.482691999990493,4405820.140929999761283
2904,554847.778243000037037,4406452.123909999616444
2906,556192.796611999976449,4406280.299519999884069
2975,554944.586434999946505,4404894.097919999621809
2976,555208.044483999954537,4404412.695940000005066
3043,553428.774337999988347,4403372.679940000176430
3044,553818.603073999984190,4403929.590139999985695
3045,554865.211203000042588,4403954.824959999881685
3116,554574.169026999967173,4403161.072900000028312
4640,612974.009976999950595,4373503.026920000091195
4641,614461.768570999964140,4373413.969119999557734
4642,616233.411579999956302,4373296.671969999559224
4709,613365.229689999949187,4372365.186150000430644
4784,613291.432953999959864,4370474.467939999885857
4785,614707.979386999970302,4370043.523939999751747
4786,616227.021691999980249,4370656.394980000331998
4867,613094.282873000018299,4367700.747739999555051
9204,657340.006947000045329,4282186.901010000146925
9293,657578.132514999946579,4281512.211980000138283
9295,657882.404003000003286,4282597.005970000289381
9296,658508.278435999993235,4283035.696910000406206
9381,657154.798243000055663,4279091.269000000320375
9382,657287.090338999987580,4279898.250000000000000
9383,657472.299042999977246,4280692.001930000260472
9476,655726.045473000034690,4278271.058960000053048
9477,656519.797154000028968,4278588.560010000132024
9576,655104.845345000037923,4278029.408010000362992
12447,674271.158065999974497,4233512.576989999972284
12600,673910.976817999966443,4232693.463899999856949
12602,674757.645234999945387,4232682.880990000441670
12603,675540.813363999943249,4232513.546980000101030
12604,675382.842034999979660,4232956.734950000420213
12605,676242.903732000035234,4233087.550950000062585
12606,675369.171251000021584,4233619.143009999766946
12607,674877.275443000020459,4234652.807909999974072
12751,673361.848754000035115,4231883.273950000293553
12752,674385.626418999978341,4231721.032929999753833
12753,675453.256244000047445,4231751.885920000262558
12754,676400.019636000040919,4230983.613920000381768
12755,676323.981748000020161,4232259.545950000174344
12756,677054.233141000033356,4232005.545950000174344
12757,676898.977589000016451,4232593.022939999587834
12758,677912.070197999943048,4232679.165919999592006
12759,677138.132661000010557,4233512.576989999972284
12761,679699.893048000056297,4233741.210979999974370
12895,677558.326710000052117,4231063.968989999964833
12896,677948.007349999970756,4232030.371939999982715
12897,678691.627318999962881,4232214.188000000081956
12898,679010.442551000043750,4233015.244900000281632
12899,680209.891127999988385,4233190.773989999666810
12900,680335.072951999958605,4232651.130979999899864
12901,681202.908089000033215,4232767.546980000101030
12904,683012.661690999986604,4233074.464990000240505
12905,683795.096123000024818,4232435.720929999835789
13027,678532.540725999977440,4231552.747999999672174
13028,679579.456567000015639,4231632.588899999856949
13029,679502.089399000047706,4232648.663010000251234
13030,680710.485048000002280,4231496.615899999625981
14627,688198.192574999993667,4191446.273980000056326
15998,706614.960209000040777,4171253.792940000072122
16098,705422.653006999986246,4170609.302949999924749
16102,707943.233234000043012,4170090.470949999988079
16473,713179.780183000024408,4167179.696930000092834
16564,712939.162453999975696,4165121.023010000120848
16565,713656.314070999971591,4166372.947999999858439
16567,714357.554648000048473,4165417.028899999801069
16568,715648.982488999958150,4165045.666980000212789
